Park ID,Park type,Age group,Swings,Slides,Seesaws,Sandboxes,Playhouses
545,Play area,Junior,Yes,No,No,No,No
81,Play area,Toddler,Yes,No,No,No,No
140,Play structure,Junior,No,No,No,No,No
376,Play area,Toddler,Yes,No,No,No,No
373,Play area,Junior,No,No,No,No,Yes
310,Play area,Toddler,No,Yes,No,No,No
1133,Play area,Toddler,No,No,No,No,No
1032,Play area,Toddler,No,No,Yes,No,No
1647,Play area,Toddler,No,No,No,Yes,No
1700,Play structure,Junior,No,No,No,No,No
1213,Play structure,Toddler,No,No,No,No,No
2452,Play area,Junior,Yes,No,No,No,No
1010,Play area,Toddler,No,Yes,No,Yes,No
960,Play structure,Junior,No,No,No,No,No
555,Play structure,senior,No,No,No,No,No
403,Play structure,Toddler,No,No,No,No,No
89,Play area,Junior,Yes,No,No,No,No
786,Play area,Toddler,Yes,Yes,No,No,No
108,Play structure,Junior,No,No,No,No,No
686,Play structure,Junior,No,No,No,No,No
1083,Play area,Toddler,Yes,No,Yes,No,No
806,Play structure,senior,No,No,No,No,No
1032,Play area,Toddler,Yes,No,No,No,No
65,Play structure,Toddler,No,No,No,No,No
609,Play area,Junior,No,No,No,No,No